Model,Rok,Kilometry,Objem motoru,Výkon,Cena
Ultima Can-Am,2019,80 Km,7000 ccm,515 kW,2050000
Chevrolet Camaro,2022,10211 Km,6162 ccm,333 kW,1073000
VANDEN PLAS PRINCESS 1300,1971,0 Km,1300 ccm,,
Lincoln Original Batmobile Replica,1966,0 Km,7521 ccm,,
Ferves Ranger 4x4,1969,47255 Km,,,
DD2 COVENTRY CLIMAX,1960,0 Km,1216 ccm,,
Autobianchi BIANCHINA,1966,0 Km,,,
Land Rover Range Rover Sport  P550e Autobiography *Pln,2025,34 Km,2997 ccm,405 kW,4138000
"RAM 1500 5,7   Hemi",2013,100000 Km,,,850000
"Land Rover Defender 5,0 P525 110 V8 Carpatian",2023,38595 Km,4999 ccm,386 kW,2250000
Plymouth GTX 440 V8,1969,25000 Km,7200 ccm,290 kW,1580000
Inferno One,2025,10 Km,6162 ccm,515 kW,29900000
Spyker C8 4.2 Laviolette,2009,7651 Km,,294 kW,13833000
KTM X-Bow GT-XR 100 Limit,2023,1905 Km,2480 ccm,368 kW,9557790
Wiesmann MF5 V10 Prototyp,2007,58100 Km,,373 kW,8630000
Land Rover Range Rover SV P615 LWB,2025,10 Km,4395 ccm,452 kW,7202065
Talbot Lago T14 V8 Americ,1962,54420 Km,,70 kW,7170000
Detomaso Mangusta,1969,79509 Km,4700 ccm,225 kW,7020000
Ultima  RS LS3 V8 430bhp /TOP/,2024,1 Km,6162 ccm,316 kW,6048790
Land Rover Range Rover Brabus P530 Autobio Carbo,2023,17284 Km,4395 ccm,390 kW,5999000
NARDI SIGHINOLFI 750,1953,0 Km,,,5625000
Cadillac Escalade 6.2 V Supercharged 682HP,2024,1 Km,6162 ccm,508 kW,4999000
Land Rover Range Rover  P550e Autobiography *PLN,2024,9177 Km,2997 ccm,405 kW,4982000
Studebaker AVANTI SUPERCHARGED,1963,0 Km,4737 ccm,,4700000
Land Rover Range Rover  P440e *PanorÃ¡ma*360kamer,2023,13844 Km,2996 ccm,324 kW,3750000
Land Rover Range Rover  P510e HSE *PanorÃ¡ma*Clea,2022,51601 Km,2996 ccm,374 kW,3750000
Land Rover Range Rover Sport  P460e 3.0 I6 AWD Dynamic,2024,6265 Km,2997 ccm,338 kW,3550000
Cadillac Escalade 6.2 ESV Prem Lux Platinum,2025,1 Km,6162 ccm,313 kW,3449000
Cadillac Escalade 6.2 ESV Sport Platinum 20,2025,1 Km,6162 ccm,313 kW,3449000
Volvo  XC90 T8 AWD ULTIMATE panorama,2024,9900 Km,1969 ccm,228 kW,1446198
"Volvo V90 2,0 B5 AWD  Plus Dark AUT",2023,48179 Km,1969 ccm,173 kW,1199900
Volvo  XC90  T8 Inscription EAWD A/T,2018,150637 Km,1969 ccm,275 kW,900000
"Volvo  XC60 2,0 B5 AWD Plus Dark Pole",2023,49700 Km,1969 ccm,173 kW,867686
Volvo V60 T6 Inscription AWD A/T,2018,64502 Km,1969 ccm,228 kW,800000
"Volvo  XC40 2,0 B4 R-Design H/K BLIS",2021,44500 Km,1969 ccm,145 kW,759900
Volvo  780 CoupÃ© TURBO BERTONE,1986,119859 Km,2000 ccm,,650000
"Volvo S90 2,0 D5 AWD R-Design Auto",2020,74398 Km,1969 ccm,173 kW,1051490
Volvo  XC40 Inscription 1majitel ÄR,2020,92000 Km,,,799000
Volvo  XC40 Inscription 1majitel ÄR,2020,92000 Km,,,789000
"Volvo  XC90 2,0 D5 171kW Polestar CZ",2015,170535 Km,1969 ccm,171 kW,634999
"Volvo  XC90 0,0   AWD DRIVE-E (MoÅ¾nÃ½",2016,207300 Km,,,590000
"Volvo  XC90 2,0   INSCRIPTION 4x4 201",2016,287000 Km,,,564999
"Volvo V60 2,4 D5 AWD Aut. Summum CZ",2011,344119 Km,2400 ccm,151 kW,109999
Volvo  EX30 Twin Motor Performance Ul,2025,5 Km,,315 kW,1296960
Volvo  EX30 Twin Motor Performance Ul,2025,5 Km,,315 kW,1265760
Volvo  EX30 Single Motor Plus 272 Hp,2025,12 Km,,200 kW,943810
Volvo V60 T6 AWD Recharge*Inscripti,2021,134781 Km,1969 ccm,251 kW,639000
"Volvo V60 2,4D 158kw",2014,241054 Km,2400 ccm,158 kW,229999
Volvo  EX90 TWIN MOTOR ULTRA 408 HP,2025,25 Km,,300 kW,2748770
Volvo  EX90 TWIN MOTOR Performance UL,2025,1040 Km,,380 kW,2525910
Volvo  XC90 T8 2.0L 310+145k AT8 AWD,2025,498 Km,1969 ccm,228 kW,2163060
"Volvo  XC90 2,0 T8 AWD Recharge Ultim",2024,2440 Km,1969 ccm,228 kW,1899900
Volvo  XC60 T8 AWD RECHARGE 2.0L 310+,2025,5 Km,1969 ccm,228 kW,1737605
Volvo  XC90 T8 AWD RECHARGE 2.0L 310+,2024,6269 Km,1969 ccm,228 kW,1699000
"Volvo  XC60 2,0 T8 Polestar Panorama,",2024,21846 Km,1969 ccm,331 kW,1487521
"Volvo  XC60 2,0 B5 AWD AUT Plus POLES",2024,10591 Km,1969 ccm,184 kW,1399900
"Volvo  XC90 2,0 B6 AWD Plus Bright Vz",2023,10560 Km,1969 ccm,220 kW,1388347
Volvo EC40 PLUS Extended Range RWD,2025,8 Km,,185 kW,1327466
"Volvo V90 2,0 CC B5 AWD Plus Dark B",2024,5000 Km,1969 ccm,184 kW,1322231
"Volkswagen Golf 2,0 R VIII  P  â20 Yearsâ",2022,32348 Km,1984 ccm,245 kW,975000
Volkswagen Arteon R,2022,30000 Km,,235 kW,869000
"Volkswagen New Beetle 1.6MPi, 75KW",2005,207791 Km,1595 ccm,75 kW,95000
Volkswagen  Touareg TDI R-Line Black Vzduch Z,2024,11015 Km,2967 ccm,210 kW,1699000
Volkswagen Arteon Shooting Brake R DSG 4Mot,2021,63192 Km,1984 ccm,235 kW,1049000
"Volkswagen  Tiguan Allspace 2,0 TDi 147kW 4x4 R-Line",2022,60720 Km,1968 ccm,147 kW,999900
Volkswagen  Touareg  3.0 V6 TDI SCR 286k R-Li,2018,226337 Km,2967 ccm,210 kW,875000
Volkswagen  Tiguan  2.0 TSI 180 kW 4Motion R,2022,62321 Km,1984 ccm,180 kW,800000
Volkswagen Arteon 2.0 TSI BMT Elegance,2019,101350 Km,1984 ccm,140 kW,650000
Volkswagen Polo GTI GTI/2.0TSi/1.Maj.ÄR/ 147KW,2019,70425 Km,1984 ccm,147 kW,469000
Volkswagen Golf GTD 2.0l 135kW DSG,2017,56644 Km,1968 ccm,135 kW,439000
Volkswagen Beetle Cabrio  Cabriolet 1.4 TSI,2017,94497 Km,1395 ccm,110 kW,387000
Volkswagen Brouk Maggiolino 1.2,1983,28431 Km,1192 ccm,,373000
Volkswagen Passat CC CC  2.0 TDI BlueMotion,2011,273060 Km,1968 ccm,103 kW,220000
Volkswagen Golf MK1 CABRIOLET,1980,234448 Km,1095 ccm,,
Volkswagen Brouk Maggiolino 1.2,1982,68864 Km,1192 ccm,,
Volkswagen T-Roc R R 4Motion 2.0 TSI 221kW,2024,7900 Km,1984 ccm,221 kW,1199900
"Volkswagen Arteon Shooting Brake 2,0 TSI R",2021,29010 Km,1984 ccm,235 kW,999999
"Volkswagen Golf 2,0 TSI GTI DSG Serv.kn.",2015,188756 Km,1984 ccm,162 kW,339999
"Volkswagen Passat CC 2,0   CC",2010,178500 Km,,,150000
Volkswagen  Touareg  3.0 V6 TSI eHybrid R 4Mo,2020,74755 Km,2995 ccm,250 kW,1375000
Volkswagen Arteon Shooting Brake  SB 2.0 TS,2021,46000 Km,1984 ccm,235 kW,1075000
Volkswagen  T-Roc Cabrio TSi DSG DPH,2023,13800 Km,1498 ccm,110 kW,798000
Volkswagen Arteon 2.0TSI 200 4X4*RLINE*COCP,2019,164925 Km,1984 ccm,200 kW,588000
"Volkswagen EOS 2.0 TSI, DSG, KABRIOLET",2012,190000 Km,1984 ccm,155 kW,350000
Volkswagen Passat CC CC  2.0 TDI BlueMotion,2010,266660 Km,1968 ccm,103 kW,150000
"Volkswagen  Touareg 4,0TDI310KW LASTEDITION Z",2021,19124 Km,3956 ccm,310 kW,2690000
"Volkswagen  Touareg 3,0 V6 TDI R-Line MODEL 2",2023,29053 Km,2967 ccm,210 kW,1888999
Volkswagen  Touareg R-Line 4Motion 4.0 TDI 31,2020,74000 Km,3956 ccm,310 kW,1699900
"Volkswagen  Touareg 3,0 TDi 210kW R-line 36tk",2023,36990 Km,2967 ccm,210 kW,1598900
"Toyota  C-HR 1,8   hybrid",2022,20400 Km,,,590000
"Toyota Yaris 1,6 TURBO 260PS 4WD GR SP",2022,53480 Km,1618 ccm,192 kW,899900
Toyota Supra JZA80 RZ,1996,90000 Km,,,2327255
Toyota Supra MK4 2JZ GTE,1994,60000 Km,,257 kW,2200000
Toyota Supra,1996,159000 Km,3000 ccm,245 kW,1710000
Toyota  Tundra,2022,16470 Km,3445 ccm,289 kW,1649000
"Toyota  Hilux 4,0 V6 DC Adventure OME /",2022,12950 Km,3956 ccm,175 kW,1640000
Toyota Supra MK5 2023,2023,39000 Km,,250 kW,1590000
Toyota Supra MK5 3.0,2022,10436 Km,2998 ccm,250 kW,1573000
Toyota Supra,1994,146000 Km,3000 ccm,206 kW,1530000
"Toyota Supra GR MK5 3,0 TURBO 250 KW",2021,9650 Km,2998 ccm,250 kW,1499900
"Toyota Yaris GR GR 1,6L Turbo MC24 Dyn",2024,10 Km,1618 ccm,206 kW,1369000
Toyota Yaris GR HPP,2024,5 Km,,205 kW,1349000
Toyota Supra,1993,155600 Km,3000 ccm,222 kW,1300000
Toyota Yaris GR,2024,16 Km,1618 ccm,204 kW,1290000
Toyota Supra GT 3.0 Turbo,2023,16157 Km,2998 ccm,250 kW,1250000
"Toyota Supra 3.0, OdpoÄet DPH",2019,42000 Km,3000 ccm,250 kW,1245000
"Toyota Yaris 1,6 GR DYNAMIC + VIP",2024,0 Km,1600 ccm,192 kW,1219900
"Toyota Supra 3,0T",2021,54100 Km,2998 ccm,250 kW,1090000
Toyota Yaris GR 2024 gen2,2024,0 Km,1600 ccm,206 kW,1073000
Toyota Yaris GR Yaris 2024,2024,350 Km,1618 ccm,206 kW,1066033
"Toyota Yaris GR, FACELIFT, 8AT, DPH",2024,32 Km,1618 ccm,206 kW,1065289
Toyota Yaris GR Sport,2024,1500 Km,1618 ccm,192 kW,1009000
Toyota Yaris GR,2023,5 Km,1598 ccm,192 kW,999000
Toyota Yaris GR - NOVIDEM,2021,17500 Km,1618 ccm,232 kW,999000
"Toyota Yaris 1,6 Dynamic Sport 4WD  GR",2023,10 Km,1618 ccm,192 kW,995000
"Toyota Yaris 1,6 Dynamic Sport 4WD  GR",2024,10 Km,1618 ccm,192 kW,995000
Toyota Yaris GR Yaris,2023,16000 Km,,192 kW,990000
"Toyota Yaris 1,6 Dynamic Sport 4WD  GR",2024,10 Km,1618 ccm,192 kW,985001
Toyota GR86 sedan,2023,5500 Km,2387 ccm,172 kW,961000
Tesla Model 3 Performance FSD,2019,79500 Km,,377 kW,799999
Tesla Model 3 Performance AWD Dual-Moto,2024,3894 Km,,375 kW,1299000
Tesla Model 3 Long Range AWD,2023,41263 Km,,366 kW,948000
Tesla Model S 85D/NabijenÃ­ zdarma/,2015,166547 Km,,290 kW,769000
Tesla Model S,2018,0 Km,,,700000
"Tesla Model X P100D Ludicrous, autopilo",2020,19781 Km,,568 kW,2057000
Tesla Model X Dual Motor AWD Long Range,2020,69000 Km,,413 kW,1499999
Tesla Model X Performance Dual Motor,2020,184500 Km,,180 kW,1490000
Tesla Model X LongRange Raven 100kWh AW,2020,76208 Km,,421 kW,1299000
Tesla Model S 90D /4x4/386KW/NabÃ­jenÃ­ z,2016,156950 Km,,386 kW,1249000
"Tesla Model S Raven 2020, Long Range",2020,149700 Km,,398 kW,1247500
"Tesla Model Y Performance Dual AWD, Aut",2023,50000 Km,,378 kW,1230000
Tesla Model S P90D-780PS NabÃ­jenÃ­ zdarm,2016,150254 Km,,576 kW,1199000
Tesla Model X Tesla model X Long Range,2020,133000 Km,,386 kW,1134000
Tesla Model 3 PERFOMANCE NOVÃ BATERIE,2021,40000 Km,,387 kW,900000
Tesla Model X X90D/386KW/CCS/4x4/,2016,150100 Km,,386 kW,899000
Tesla Model Y Long Range AWD 75kWh,2021,116398 Km,,378 kW,860000
Tesla Model S 75D,2017,73901 Km,,245 kW,825000
Tesla Model S 75D AUTOPILOT 2.5,2019,51642 Km,,386 kW,798000
Tesla Model S 90D/4x4/Full-LED/CCS /,2016,53584 Km,,386 kW,779000
Tesla Model 3 Performance 76kWh,2019,99883 Km,,377 kW,746000
Tesla Model 3 Std Range Plus LFP,2021,25218 Km,,239 kW,730000
Tesla Model S 90D/CCS/4x4/Full-LED /,2016,168956 Km,,385 kW,729000
Tesla Model 3 Long Range Dual Motor AW,2019,83472 Km,,350 kW,700000
Tesla Model 3 Std Range Plus 49kWh,2021,37373 Km,,239 kW,700000
Tesla Model S 75D/4x4/CCS / nabÃ­jenÃ­ ZD,2017,197874 Km,,386 kW,699900
Tesla Model 3 Long Range 4WD 76kWh,2019,60117 Km,,324 kW,682000
Tesla Model 3 Long Range 4WD 76kWh,2019,70973 Km,,324 kW,680000
Tesla Model 3 Long Range 4WD 76kWh,2020,68647 Km,,324 kW,660000
"Å koda  Enyaq iV 0,1 RS 250kW 5L.ZÃ¡r.TaÅ¾nÃ©",2023,21810 Km,,250 kW,1149900
Å koda Kodiaq RS 2.0 TDI SCR RS DSG 4x4,2020,90188 Km,1968 ccm,176 kW,945000
Å koda Kodiaq RS 2.0 TDI SCR RS DSG 4x4,2020,112797 Km,1968 ccm,176 kW,772000
Å koda Octavia RS Combi  2.0 TSI RS,2023,18478 Km,1984 ccm,180 kW,750000
Å koda Octavia RS Combi  2.0 TDI DPF RS,2014,270840 Km,1968 ccm,135 kW,287000
"Å koda Superb 2,0   tdi ManuÃ¡l",2020,144235 Km,,,550000
"Å koda Superb 2,0",2017,219000 Km,,,430000
Å koda Superb 4X4 140Kw nafta dsg7 L&am,2018,222000 Km,,,417450
"Å koda  Octavia 2,0   RS tdi Dsg",2016,128000 Km,,,379999
"Å koda Octavia RS 2,0 TSI RS Xenon Canton 1",2013,126198 Km,1984 ccm,162 kW,359999
"Å koda  Octavia 2,0   TDI 110kw 4x4",2014,257000 Km,,,359000
"Å koda Octavia RS 2,0 TSI RS 162kW Challeng",2016,176482 Km,1984 ccm,162 kW,348999
"Å koda Octavia RS 2,0 TDI DSG RS Challenge",2016,199419 Km,1968 ccm,135 kW,329999
"Å koda Octavia RS 2,0 TDI RS Navi Webasto D",2016,164169 Km,1968 ccm,135 kW,299999
"Å koda Octavia RS 2,0 TSI DSG 147kW Xenon R",2012,186287 Km,1984 ccm,147 kW,219999
"Å koda Octavia RS 2,0 TDI DSG RS Xenon Navi",2012,276851 Km,1968 ccm,125 kW,159999
"Å koda  Enyaq iV RS 4x4 82KWH, HEAD-UP, TE",2023,21900 Km,,220 kW,1399900
Å koda Superb 2.0TSi 206kW L&K ZÃRU,2023,20104 Km,1984 ccm,206 kW,979000
Å koda Octavia RS Combi  2.0 TSI RS,2018,111171 Km,1984 ccm,169 kW,562000
"Å koda Superb 2.0TSI 200kW Canton,taÅ¾nÃ©",2019,158960 Km,1984 ccm,200 kW,529000
"Å koda Superb 2,0 TDi Sportline*Panoram",2019,167123 Km,1968 ccm,110 kW,418888
Å koda Octavia RS RS 2.0Tdi 135kw Challenge,2016,145285 Km,1968 ccm,135 kW,349999
Å koda Octavia RS RS 2.0TDI 135kw,2016,227593 Km,1968 ccm,135 kW,294999
Å koda Octavia RS RS 1.8T 132kw,2005,263444 Km,1781 ccm,132 kW,129999
Å koda 130 RS,1979,100 Km,1300 ccm,100 kW,1600000
Å koda Enyaq CoupÃ© RS/ 4x4/ CoupÃ©/ v ZÃ¡ruke,2023,15264 Km,,220 kW,1250000
Å koda Octavia RS RS TSI 195kW Facelift Pan,2024,233 Km,1984 ccm,195 kW,1199000
Å koda  Octavia Combi Sportline,2024,15 Km,1968 ccm,140 kW,1155550
Å koda Kodiaq RS RS RS 2.0 TSI,2023,28702 Km,1984 ccm,180 kW,1150000
"Suzuki  Grand Vitara 2,4",2010,93000 Km,,,225000
Suzuki Swift Sport,2019,53000 Km,1373 ccm,103 kW,409990
Suzuki Swift Sport 1.4 Boosterjet,2019,94000 Km,1373 ccm,103 kW,375000
Suzuki Swift Sport 1.4 T. 140 PS  REMUS,2018,98236 Km,1373 ccm,103 kW,369000
Suzuki Swift Sport ZC32S,2016,54500 Km,,100 kW,324990
Suzuki Swift Sport,2014,61000 Km,1600 ccm,100 kW,239000
Suzuki  X90  Vitara X-90,1997,154190 Km,1590 ccm,71 kW,237000
Suzuki Swift Sport NZ32,2012,129704 Km,1586 ccm,100 kW,217000
"Suzuki Swift Sport ZC32 1,6 100kW",2012,156000 Km,1586 ccm,100 kW,209000
Suzuki Swift Sport 1.6i BI-XENONY,2012,176022 Km,1586 ccm,100 kW,189000
Suzuki Swift Sport,2016,164000 Km,1586 ccm,100 kW,185000
"Suzuki Swift Sport 1,6 VVT Sport Aut.klima X",2012,138006 Km,1586 ccm,100 kW,174999
Suzuki Swift Sport Suzuki Swift ZC31S,2010,88200 Km,1586 ccm,92 kW,147500
Suzuki  Swift GTi,1991,190000 Km,1300 ccm,82 kW,120000
"Suzuki Swift Sport 1,6 i 92kW Sport Aut. Kli",2007,208912 Km,1586 ccm,92 kW,74999
Subaru Impreza 2.0 WRX,2001,170433 Km,1994 ccm,160 kW,375000
"Subaru BRZ 2,4 I D-4S Limited MT",2023,10 Km,2387 ccm,172 kW,1042000
Subaru BRZ SPORT 2.4 l D-4S Limited,2024,2700 Km,2387 ccm,172 kW,969900
"Subaru  Outback 2,5",2019,110900 Km,,,653400
Subaru BRZ 2.4 Limited 6 MT,2023,4150 Km,2387 ccm,172 kW,885000
Subaru Impreza WRX STI LHD Japan MY2004,2004,174000 Km,2000 ccm,195 kW,490000
Subaru Impreza WRX sti,2005,8094 Km,2000 ccm,,2725000
Subaru Impreza WRX STi,2005,13000 Km,,195 kW,1882000
Subaru WRX STI,2018,9800 Km,,221 kW,1720000
"Subaru WRX STI HB special 2,7 l 520 HP",2024,500 Km,2700 ccm,388 kW,1690000
Subaru Impreza,2003,0 Km,2200 ccm,300 kW,1400000
Subaru WRX STI,2018,56000 Km,2457 ccm,221 kW,1385000
Subaru Impreza STi TypeR 22B replika LHD,1999,138500 Km,,210 kW,1299500
Subaru WRX STI Wrx Sti,2017,54000 Km,,221 kW,1220000
Subaru Impreza STi TypeR 22B replika LHD,1998,124500 Km,,210 kW,1199555
Subaru WRX STI 500 HP,2016,39000 Km,2500 ccm,360 kW,1199000
Subaru Impreza WRX STI TYPE R LHD,1997,140000 Km,1998 ccm,206 kW,1099000
Subaru WRX STI,2015,125000 Km,2500 ccm,262 kW,1062600
Subaru BRZ 2.4i Limited 6MT,2024,11 Km,2387 ccm,172 kW,1042000
Subaru BRZ SPORT. Skladem poslednÃ­ v,2024,11 Km,2387 ccm,172 kW,1042000
"Subaru BRZ 2,4i Limited 6 MT",2023,15 Km,2400 ccm,172 kW,1042000
"Subaru BRZ 2,4i Limited 6 MT",2023,15 Km,2400 ccm,172 kW,1042000
Subaru BRZ 2.4i Limited 6MT,2024,12 Km,2387 ccm,172 kW,1042000
"Subaru BRZ 2.4i Limited, 6MT",2024,12 Km,2387 ccm,172 kW,1042000
Subaru BRZ 2.4 Boxer MT. PoslednÃ­ vo,2024,11 Km,2387 ccm,172 kW,1042000
Subaru BRZ 2.4i Limited 6MT,2024,12 Km,2387 ccm,172 kW,1030000
Subaru BRZ Final Ed. MT 8 let zÃ¡ruka,2024,15 Km,2387 ccm,172 kW,1029000
Subaru Impreza Type R kupÃ© 22B replika,2002,150 Km,2000 ccm,300 kW,1000000
Subaru WRX STI Model 2018 +novÃ© komplet,2018,38200 Km,2457 ccm,221 kW,997300
"Subaru BRZ 2,4 Limited 6 MT + Ragazz",2023,2996 Km,2387 ccm,172 kW,980000
Smart  CROSSBLADE,2002,480 Km,,51 kW,1000000
Smart Fortwo EQ BRABUS,2021,10200 Km,,60 kW,532400
Smart Fortwo EQ Cabrio Passion JBL,2020,39000 Km,,60 kW,399300
Smart Forfour EQ TOP 1.200 km TOP,2021,1200 Km,,60 kW,399000
Smart Fortwo EQ 60kW CABRIO PRIME EXCL,2020,41716 Km,,41 kW,350000
Smart Fortwo EQ 60kW,2021,16678 Km,,60 kW,348000
Smart Fortwo 1.0i/Carlsson/CK10/N AVI/,2013,99786 Km,,82 kW,339000
Smart Fortwo EQ PASSION 60kW CARPLAY 1,2023,8053 Km,,60 kW,328000
Smart Fortwo CABRIO 453 Turbo,2016,74000 Km,,66 kW,325000
Smart Fortwo cabrio  BRABUS optik,2017,40849 Km,,60 kW,260000
Smart Forfour EQ,2021,48426 Km,,60 kW,254000
Smart Forfour electric drive,2019,41030 Km,,60 kW,240000
Smart Roadster,2003,180000 Km,,74 kW,199999
Smart Roadster 60A,2004,219664 Km,,60 kW,150000
Smart Roadster roadster,2003,140000 Km,,45 kW,140000
"Smart Fortwo 1,0 52kW Tiptronic Cabrio",2008,165994 Km,,52 kW,99900
"Seat  Ateca 2,0   TDI 110 KW",2017,85000 Km,,,440000
Seat Leon CUPRA ST 221 4DRIVE*DPH*Ä,2017,119534 Km,1984 ccm,221 kW,558000
Seat Leon R ST 4x4 carbon edition,2020,43000 Km,2000 ccm,300 kW,910000
Seat Leon ST  2.0 TSI 300 Cupra Lim,2020,62323 Km,1984 ccm,221 kW,862000
Seat Leon Cupra Carbon Edition,2018,80000 Km,,376 kW,790000
Seat Leon CUPRA ST 300 4x4,2020,45000 Km,1984 ccm,221 kW,790000
Seat Leon Cupra ST 2.0 4x4 221kw,2020,60000 Km,,221 kW,740000
Seat Leon Cupra R,2018,60000 Km,1984 ccm,221 kW,700000
Seat Leon Cupra 300,2018,70500 Km,1984 ccm,221 kW,560000
Seat Leon CUPRA ST,2018,99990 Km,1984 ccm,295 kW,559999
Seat Leon Cupra 300 DSG,2018,88000 Km,1984 ccm,273 kW,555555
"Seat Leon CUPRA 290 ST, MANUÃL, DPH",2017,117000 Km,1984 ccm,213 kW,545000
Seat Leon Cupra 300 ST 4x4 DSG,2018,108125 Km,2000 ccm,221 kW,539000
Seat Leon Cupra 2.0 TSI 245kW,2015,130626 Km,1984 ccm,245 kW,489000
Seat Leon Leon Cupra 221 kW,2017,52400 Km,,221 kW,483000
Seat Leon Cupra ST,2015,74000 Km,2000 ccm,206 kW,470000
Seat Leon Cupra 300,2017,167000 Km,1984 ccm,242 kW,460000
Seat Leon Cupra,2014,160000 Km,,206 kW,450000
"Seat Leon 2,0 TSI Cupra ST DSG LED",2017,116500 Km,1984 ccm,213 kW,449999
Seat Leon Cupra 280,2015,117879 Km,1984 ccm,206 kW,440000
Seat Leon,2016,62000 Km,,300 kW,429000
Seat Leon ST  1.8 TSI X-Perience DS,2017,116049 Km,1798 ccm,132 kW,400000
Seat Leon Cupra R,2010,134389 Km,1998 ccm,330 kW,392000
Seat Leon 2.0 TDI FR,2017,76280 Km,1968 ccm,135 kW,360000
Seat Leon CUPRA REVO 280KW 381PS,2014,180000 Km,,280 kW,339990
Seat Ibiza 1.5 TSI FR,2018,99702 Km,1498 ccm,110 kW,320000
Seat Leon CUPRA 290 performance,2016,205000 Km,2000 ccm,213 kW,310000
Seat Leon ST 2.0 TDi FR LED NAVI 13,2015,163762 Km,1968 ccm,135 kW,289000
"Seat Leon 2,0 TSI 280k DSG Cupra DP",2015,298541 Km,1984 ccm,206 kW,284999
Saab 9-5 Aero Turbo4 162kw,2011,150000 Km,1998 ccm,162 kW,285000
Saab 9-3 Aero 9-3,2006,200000 Km,2800 ccm,205 kW,250000
"Saab 9-3 2,0t Vector Cabrio Automa",2008,147166 Km,1999 ccm,129 kW,229900
"Saab 9-3 Combi 2,8T V6 188kW Autom",2008,211277 Km,2792 ccm,188 kW,197699
Saab 9-3 2.0 T Automat*D.Klima*KÅ¯Å¾,2000,131247 Km,1985 ccm,113 kW,179990
Saab 9-3 Aero Turbo,2000,158000 Km,,151 kW,159999
"Saab 9-3 2,0t Cabrio Vector",2004,221681 Km,1998 ccm,129 kW,149900
Saab 9-5 Aero,2006,370000 Km,2290 ccm,191 kW,135000
Saab 9-3,2003,165578 Km,,129 kW,95000
Rover  Range Rover Sport 4.2 V8,2006,79000 Km,4196 ccm,287 kW,996000
Rover  Range Rover 5.0 V8,2016,45121 Km,5000 ccm,375 kW,2130000
Rover  Evoque,2017,29000 Km,1999 ccm,177 kW,1290000
Rover  220 GTI Rally zÃ¡vodnÃ­,1993,3000 Km,1996 ccm,154 kW,1100000
Rover  600ti,1998,165000 Km,2000 ccm,147 kW,125000
Rover  100 CABRIOLET,2026,42767 Km,1119 ccm,,
Rolls Royce Ghost Black Badge / Skladem,2023,2500 Km,6594 ccm,441 kW,10500000
Rolls Royce Wraith BlackBadge Novitec Starli,2019,16995 Km,6592 ccm,441 kW,9499000
Rolls Royce Cullinan Black Badge TAÅ½NÃ/MASÃÅ½E/,2022,42669 Km,6749 ccm,441 kW,8999000
Rolls Royce Wraith V12 Starlight Bespoke Noi,2018,16013 Km,6592 ccm,465 kW,6299000
"Rolls Royce Ghost BR STAR, ACC, MASÃÅ½E",2018,24000 Km,6592 ccm,420 kW,6070000
Rolls Royce Ghost Professional/Ventila ce/To,2010,37800 Km,6592 ccm,420 kW,3790000
Rolls Royce Silver Shadow,1966,0 Km,6750 ccm,,1000000
Rolls Royce Silver Wraith Silver Wraith II LWB,1979,8300 Km,6750 ccm,164 kW,899000
Rolls Royce Silver Shadow,1974,0 Km,6750 ccm,,875000
Rolls Royce Silver Spur Silver Spur II LHD Long,1991,145250 Km,6800 ccm,165 kW,850000
Rolls Royce Silver Spur Silver Spur II LHD Long,1991,145250 Km,6800 ccm,165 kW,850000
Rolls Royce Silver Spur II,1990,120000 Km,6750 ccm,165 kW,795000
Rolls Royce Silver Spirit II,1992,0 Km,6753 ccm,,650000
Rolls Royce Silver Shadow,1976,0 Km,6750 ccm,,
Rolls Royce Silver Shadow ROLLS ROYCE SILVER SHADOW II,1979,131723 Km,6750 ccm,,
Renault MÃ©gane Grandtour  Energy dCi 165,2018,156554 Km,1598 ccm,120 kW,468000
Renault Laguna CoupÃ© CoupÃ©,2013,70384 Km,2998 ccm,177 kW,287000
Renault  Twingo  RS 1.6 16V,2012,139012 Km,1598 ccm,98 kW,237000
Renault  4 CV DÃ©capotable,1957,15356 Km,,,
"Renault MÃ©gane 2,0   3 RS",2012,169000 Km,,,259000
Renault Alpine GTA Le Mans,1991,53000 Km,2458 ccm,154 kW,1900000
Renault Clio Sport V6 Phase 1,2002,76300 Km,2900 ccm,166 kW,1450000
Renault MÃ©gane Trophy-R,2020,4850 Km,1998 ccm,221 kW,1395000
Renault  8 Gordini Sports Saloon,1964,58180 Km,,77 kW,1320000
Renault Clio Sport V6,2002,32178 Km,2946 ccm,169 kW,1250000
Renault MÃ©gane Megane R.S. Ultime,2024,200 Km,1798 ccm,220 kW,1169990
Renault Alpine ESPRIT ALPINE E-Tech ful,2024,32730 Km,1199 ccm,96 kW,946000
Renault MÃ©gane 4 Rs Trophy 300 EDC,2021,49000 Km,,221 kW,805000
Renault MÃ©gane RS,2021,33000 Km,1800 ccm,221 kW,780000
Renault MÃ©gane 4 RS TROPHY,2019,54000 Km,,221 kW,750000
Renault MÃ©gane RS 280 Sport,2019,34500 Km,1798 ccm,205 kW,749000
Renault Clio Sport CUP,2011,49900 Km,1997 ccm,147 kW,695000
Renault MÃ©gane Energy TCe 280 R.S. EDC,2018,126445 Km,1798 ccm,205 kW,585000
Renault Clio Sport,2009,170000 Km,1998 ccm,145 kW,554000
